timestamp,scenario,fault_active,fault_labels,T_mean,T_min,T_max,pH_mean,pH_min,pH_max,RPM_mean,RPM_min,RPM_max,set_T,set_pH,set_RPM,ΔT,ΔpH,ΔRPM
1763730270578,variable_setpoints,False,,30.977986964721122,30.917519498536706,31.01055542842647,4.08007588534972,4.041935076417833,4.123665381271873,1189.2194470435757,1176.9566112026623,1199.74634581902,29.0,4.0,1200.0,1.9779869647211221,0.08007588534971966,-10.780552956424344
1763730271730,variable_setpoints,False,,30.985183785101402,30.89427683673756,31.057112762359566,4.0815618908925195,4.041935076417833,4.123665381271873,1191.2414253110164,1182.2975287866207,1198.8935955491638,29.0,4.0,1200.0,1.9851837851014018,0.08156189089251953,-8.758574688983572
1763730272779,variable_setpoints,False,,30.961922117748667,30.871040674795495,31.057112762359566,4.071655187273849,4.014691641466489,4.110043663796197,1186.79418091946,1168.3385498069297,1197.171528791324,29.0,4.0,1200.0,1.9619221177486672,0.07165518727384868,-13.205819080540095
1763730273879,variable_setpoints,False,,30.925983212848084,30.824587793796354,30.98728662509444,4.071655187273849,4.028313358942165,4.110043663796197,1181.8491362531108,1165.5631888821829,1194.9208094501148,29.0,4.0,1200.0,1.9259832128480845,0.07165518727384868,-18.150863746889172
1763730274879,variable_setpoints,False,,30.901255490829385,30.84781099853467,30.96402437849605,4.071902854864317,4.041935076417833,4.123665381271873,1181.3842568082214,1160.0947759791204,1196.8619077436667,29.0,4.0,1200.0,1.901255490829385,0.0719028548643168,-18.61574319177862
1763730275925,variable_setpoints,False,,30.891968194375853,30.84781099853467,31.01055542842647,4.051470278650806,4.014691641466489,4.096421946320529,1180.1813005756608,1151.8090990944659,1197.169360697536,29.0,4.0,1200.0,1.8919681943758526,0.05147027865080567,-19.81869942433923
1763730277021,variable_setpoints,False,,30.8499280860323,30.801371046439044,30.917519498536706,4.058033469798175,4.041935076417833,4.082800228844853,1191.599684833077,1175.5849204866372,1199.6461700871919,29.0,4.0,1200.0,1.8499280860322997,0.058033469798174586,-8.400315166923065
1763730278021,variable_setpoints,False,,30.845499022611495,30.75495686738668,30.89427683673756,4.071902854864317,4.00106992399082,4.164530533698892,1194.696213021049,1177.4357887295814,1199.9403646604324,29.0,4.0,1200.0,1.8454990226114951,0.0719028548643168,-5.303786978950939
1763730279078,variable_setpoints,False,,30.841487383271616,30.75495686738668,30.89427683673756,4.08156189089252,4.055556793893508,4.150908816223216,1182.761704395314,1168.1059507146479,1193.192387836592,29.0,4.0,1200.0,1.841487383271616,0.08156189089252042,-17.238295604686073
1763730280118,variable_setpoints,False,,30.815310778105165,30.778160742338287,30.871040674795495,4.0732650266118835,4.041935076417833,4.110043663796197,1189.0083175648647,1173.919005549033,1196.856574796953,29.0,4.0,1200.0,1.8153107781051645,0.0732650266118835,-10.991682435135317
1763730281220,variable_setpoints,False,,30.799269216746175,30.731759407493826,30.871040674795495,4.080323552940187,4.028313358942165,4.110043663796197,1194.7965432434298,1185.368747257307,1199.105687244637,29.0,4.0,1200.0,1.7992692167461755,0.0803235529401869,-5.203456756570176
1763730282279,variable_setpoints,False,,30.773944192574923,30.731759407493826,30.801371046439044,4.084038566797189,4.014691641466489,4.1372870987475485,1195.9144755551279,1179.4257332607954,1199.847850935653,29.0,4.0,1200.0,1.7739441925749233,0.08403856679718924,-4.085524444872135
1763730283371,variable_setpoints,False,,30.773527038013178,30.70856834858614,30.84781099853467,4.092335431077826,4.055556793893508,4.150908816223216,1191.566503397841,1169.9618371156375,1197.8679507521704,29.0,4.0,1200.0,1.773527038013178,0.09233543107782616,-8.433496602159039
1763730284395,variable_setpoints,False,,30.729453731041275,30.639033437292426,30.801371046439044,4.0732650266118835,4.041935076417833,4.110043663796197,1184.2905698845261,1171.5608045756503,1190.3134485110513,29.0,4.0,1200.0,1.729453731041275,0.0732650266118835,-15.709430115473879
1763730285418,variable_setpoints,False,,30.710681852340578,30.66220537751684,30.75495686738668,4.058033469798177,4.028313358942165,4.096421946320529,1190.4163595012058,1174.9455509027302,1198.5637485336165,29.0,4.0,1200.0,1.7106818523405778,0.05803346979817725,-9.583640498794239
1763730286527,variable_setpoints,False,,30.668536584673067,30.61586784192758,30.778160742338287,4.064225159559846,4.028313358942165,4.096421946320529,1190.3046958776436,1181.2705724711418,1196.3773777107785,29.0,4.0,1200.0,1.6685365846730669,0.06422515955984576,-9.695304122356447
1763730287570,variable_setpoints,False,,30.687705970346247,30.66220537751684,30.731759407493826,4.055556793893507,4.014691641466489,4.110043663796197,1185.668752684717,1173.0186550660967,1196.9987537793781,29.0,4.0,1200.0,1.6877059703462471,0.05555679389350665,-14.331247315283008
1763730288593,variable_setpoints,False,,30.62746583933021,30.523268629519976,30.70856834858614,4.080075885349721,4.041935076417833,4.123665381271873,1191.951200203023,1182.1303025033767,1197.7662878129222,29.0,4.0,1200.0,1.6274658393302097,0.08007588534972143,-8.048799796976937
1763730289558,variable_setpoints,False,,30.6112543346215,30.523268629519976,30.70856834858614,4.071902854864317,4.055556793893508,4.082800228844853,1195.20046953886,1182.6242615550777,1199.4107426321243,29.0,4.0,1200.0,1.6112543346214991,0.0719028548643168,-4.799530461139966
1763730290640,variable_setpoints,False,,30.58640273972054,30.500134548940025,30.639033437292426,4.061748483655178,4.028313358942165,4.096421946320529,1193.9645100266036,1175.8051384168427,1199.9250611641532,29.0,4.0,1200.0,1.5864027397205405,0.06174848365517782,-6.035489973396352
